SIGLA,nome curto,nome longo,definição,cat,short name,long name,definition
t_analf11a14,Taxa de analfabetismo - 11 a 14 anos,Taxa de analfabetismo da população de 11 a 14 anos de idade,Razão entre a população de 11 a 14 anos de idade que não sabe ler nem escrever um bilhete simples e o total de pessoas nesta faixa etária multiplicado por 100.,edu,Illiteracy rate - 11 to 14 years old,Illiteracy rate of the population aged 11 to 14 years,Reason for the population aged 11 to 14 years who can not read or write a single ticket and the total number of people in this age group multiplied by 100.
t_analf15a17,Taxa de analfabetismo - 15 a 17 anos ,Taxa de analfabetismo da população de 15 a 17 anos de idade,Razão entre a população de 15 a 17 anos de idade que não sabe ler nem escrever um bilhete simples e o total de pessoas nesta faixa etária multiplicado por 100.,edu,Illiteracy rate - 15 to 17 years,Illiteracy rate of the population aged 15 to 17 years old,Reason among the population aged 15 to 17 who can not read or write a single ticket and the total number of people in this age group multiplied by 100.
t_analf15m,Taxa de analfabetismo - 15 anos ou mais ,Taxa de analfabetismo da população de 15 anos ou mais de idade,Razão entre a população de 15 anos ou mais de idade que não sabe ler nem escrever um bilhete simples e o total de pessoas nesta faixa etária multiplicado por 100.,edu,Illiteracy rate - 15 years and over,Illiteracy rate of the population aged 15 years and over,Reason for the population aged 15 years or over who can not read or write a single ticket and the total number of people in this age group multiplied by 100.
t_analf18a24,Taxa de analfabetismo - 18 a 24 anos ,Taxa de analfabetismo da população de 18 a 24 anos de idade,Razão entre a população de 18 a 24 anos de idade que não sabe ler nem escrever um bilhete simples e o total de pessoas nesta faixa etária multiplicado por 100.,edu,Illiteracy rate - 18-24 years,Illiteracy rate of the population aged 18-24 years,"Ratio of the population of 18 to 24 year olds who can't read or write a single ticket and the total number of people in this age group, multiplied by 100."
t_analf18m,Taxa de analfabetismo - 18 anos ou mais ,Taxa de analfabetismo da população de 18 anos ou mais de idade,Razão entre a população de 18 anos ou mais de idade que não sabe ler nem escrever um bilhete simples e o total de pessoas nesta faixa etária multiplicado por 100.,edu,Illiteracy rate - 18 years and over,Illiteracy rate of the population aged 18 years and over,"Ratio of the population of 18 years or older who can't read or write a single ticket and the total number of people in this age group, multiplied by 100."
t_analf25a29,Taxa de analfabetismo - 25 a 29 anos ,Taxa de analfabetismo da população de 25 a 29 anos de idade,Razão entre a população de 25 a 29 anos de idade que não sabe ler nem escrever um bilhete simples e o total de pessoas nesta faixa etária multiplicado por 100.,edu,Illiteracy rate - 25 to 29 years,Illiteracy rate of the population 25 to 29 years of age,"Ratio of the population of 25 to 29 years of age who can't read or write a single ticket and the total number of people in this age group, multiplied by 100."
t_analf25m,Taxa de analfabetismo - 25 anos ou mais,Taxa de analfabetismo da população de 25 anos ou mais de idade,Razão entre a população de 25 anos ou mais de idade que não sabe ler nem escrever um bilhete simples e o total de pessoas nesta faixa etária multiplicado por 100.,edu,Illiteracy rate - 25 years and over,Illiteracy rate of the population aged 25 years and over,"Ratio of the population of 25 years or older who can't read or write a single ticket and the total number of people in this age group, multiplied by 100."
t_atraso_0_basico,% de 6 a 17 anos no básico sem atraso,Percentual da população de 6 a 17 anos de idade frequentando o ensino básico que não tem atraso idade-série.,"Razão entre o número de pessoas de 6 a 17 anos frequentando o ensino básico regular seriado (fundamental + médio) sem atraso idade-série e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 5) - número da série frequentada], na qual o número da série frequentada é 10, 11 e 12 para as pessoas que frequentam a 1ª, a 2ª e a 3ª séries do ensino médio, respectivamente. Foram consideradas sem atraso não só as pessoas para as quais o resultado dessa fórmula foi igual a zero, mas também aquelas para as quais o resultado foi menor do que zero, ou seja, as pessoas com adiantamento idade-série. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.",edu,% from 6 to 17 years at baseline without delay,Percentage of the population aged 6 to 17 attending elementary school who have no age-series delay.,QUERY LENGTH LIMIT EXCEDEED. MAX ALLOWED QUERY : 500 CHARS
t_atraso_0_fund,% de 6 a 14 anos no fundamental sem atraso,Percentual da população de 6 a 14 anos de idade frequentando o ensino fundamental que não tem atraso idade-série.,"Razão entre o número de pessoas de 6 a 14 anos frequentando o ensino fundamental regular seriado sem atraso idade-série e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 5) - número da série frequentada] e foram consideradas sem atraso não só as pessoas para as quais o resultado dessa fórmula foi igual a zero, mas também aquelas para as quais o resultado foi menor do que zero, ou seja, as pessoas com adiantamento idade-série. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.",edu,% from 6 to 14 years in the fundamental without delay,Percentage of the population from 6 to 14 years of age attending elementary school which has no age-series delay.,QUERY LENGTH LIMIT EXCEDEED. MAX ALLOWED QUERY : 500 CHARS
t_atraso_0_med,% de 15 a 17 anos no médio sem atraso,Percentual da população de 15 a 17 anos de idade frequentando o ensino médio que não tem atraso idade-série.,"Razão entre o número de pessoas de 15 a 17 anos frequentando o ensino médio regular seriado sem atraso idade-série e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 14) - número da série frequentada] e foram consideradas sem atraso não só as pessoas para as quais o resultado dessa fórmula foi igual a zero, mas também aquelas para as quais o resultado foi menor do que zero, ou seja, as pessoas com adiantamento idade-série. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.",edu,% from 15 to 17 years in the medium without delay,Percentage of the population from 15 to 17 years of age attending high school that has no age delay.,QUERY LENGTH LIMIT EXCEDEED. MAX ALLOWED QUERY : 500 CHARS
t_atraso_1_basico,% de 6 a 17 no básico com 1 ano de atraso,Percentual da população de 6 a 17 anos de idade frequentando o ensino básico que tem 1 ano de atraso idade-série.,"Razão entre o número de pessoas de 6 a 17 anos frequentando o ensino básico regular seriado (fundamental + médio) com atraso idade-série de 1 ano e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 5) - número da série frequentada], na qual o número da série frequentada é 10, 11 e 12 para as pessoas que frequentam a 1ª, a 2ª e a 3ª séries do ensino médio, respectivamente. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.",edu,% of 6 to 17 in 1 year delay base,Percentage of the population of 6 to 17 years of age attending basic education which has 1 year late age.,QUERY LENGTH LIMIT EXCEDEED. MAX ALLOWED QUERY : 500 CHARS
t_atraso_1_fund,% de 6 a 14 anos no fundamental com 1 ano de atraso,Percentual da população de 6 a 14 anos de idade frequentando o ensino fundamental que tem 1 ano de atraso idade-série.,Razão entre o número de pessoas de 6 a 14 anos frequentando o ensino fundamental regular seriado com atraso idade-série de 1 ano e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 5) - número da série frequentada]. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.,edu,% of 6 to 14 years old in junior high with 1 year late,Percentage of the population of 6 to 14 years of age attending the elementary school which has 1 year late age.,Ratio of the number of people from 6 to 14 years attending elementary school sitcom with age-delay regular series of 1 year and the total number of people in this age group attending this level of education multiplied by 100. The age-delay series is calculated by the formula: [(age 5)-serial number frequented]. People from 6 to 14 years attending preschool were considered as if they were in the first grade of elementary school.
t_atraso_1_med,% de 15 a 17 no médio com 1 ano de atraso,Percentual da população de 15 a 17 anos de idade frequentando o ensino médio que tem 1 ano de atraso idade-série.,Razão entre o número de pessoas de 15 a 17 anos frequentando o ensino médio regular seriado com atraso idade-série de 1 ano e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 14) - número da série frequentada]. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.,edu,% of 15 to 17 in the middle with 1 year late,Percentage of the population from 15 to 17 years of age attending middle school which has 1 year late age.,Ratio of the number of people from 15 to 17 years attending regular high school sitcom with delay age-range of 1 year and the total number of people in this age group attending this level of education multiplied by 100. The age-delay series is calculated by the formula: [(age-14)-serial number frequented]. People from 15 to 17 years attending fourth grade of high school were considered as having completed this level of education.
t_atraso_2_basico,% de 6 a 17 anos no básico com 2 anos ou mais de atraso,Percentual da população de 6 a 17 anos de idade frequentando o ensino básico que tem 2 anos ou mais de atraso idade-série.,"Razão entre o número de pessoas de 6 a 17 anos frequentando o ensino básico regular seriado (fundamental + médio) com atraso idade-série de 2 anos ou mais e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 5) - número da série frequentada], na qual o número da série frequentada é 10, 11 e 12 para as pessoas que frequentam a 1ª, a 2ª e a 3ª séries do ensino médio, respectivamente. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.",edu,% of 6 to 17 years old on the Basic with 2 years or more of delay,Percentage of the population of 6 to 17 years of age attending basic education that have 2 years or more of age-delay series.,QUERY LENGTH LIMIT EXCEDEED. MAX ALLOWED QUERY : 500 CHARS
t_atraso_2_fund,% de 6 a 14 anos no fundamental com 2 anos ou mais de atraso,Percentual da população de 6 a 14 anos de idade frequentando o ensino fundamental que tem 2 anos ou mais de atraso idade-série.,Razão entre o número de pessoas de 6 a 14 anos frequentando o ensino fundamental regular seriado com atraso idade-série de 2 anos ou mais e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 5) - número da série frequentada]. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.,edu,% of 6 to 14 years old in junior high with 2 years or more of delay,Percentage of the population of 6 to 14 years of age attending the elementary school that has 2 years or more of age-delay series.,Ratio of the number of people from 6 to 14 years attending elementary school sitcom with age-delay regular series of 2 years or more and the total number of people in this age group attending this level of education multiplied by 100. The age-delay series is calculated by the formula: [(age 5)-serial number frequented]. People from 6 to 14 years attending preschool were considered as if they were in the first grade of elementary school.
t_atraso_2_med,% de 15 a 17 anos no médio com 2 anos de atraso,Percentual da população de 15 a 17 anos de idade frequentando o ensino médio que tem  2 anos de atraso idade-série.,Razão entre o número de pessoas de 15 a 17 anos frequentando o ensino médio regular seriado com atraso idade-série de 2 anos e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 14) - número da série frequentada]. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.,edu,% of 15 to 17 years in the middle with 2 years late,Percentage of the population from 15 to 17 years of age attending high school that has 2 years late age.,Ratio of the number of people from 15 to 17 years attending regular high school sitcom with delay age-series of 2 years and the total number of people in this age group attending this level of education multiplied by 100. The age-delay series is calculated by the formula: [(age-14)-serial number frequented]. People from 15 to 17 years attending fourth grade of high school were considered as having completed this level of education.
t_fbbas,Taxa de frequência bruta ao básico,Taxa de frequência bruta ao ensino   básico,Razão entre o número total de pessoas de qualquer idade frequentando o ensino básico (fundamental ou médio - regular ou seriado) e a população na faixa etária de 6 a 17 anos multiplicado por 100. As pessoas frequentando a 4ª série do ensino médio foram consideradas como tendo concluído esse nível de ensino. As pessoas de 6 anos ou mais frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.,edu,Raw frequency rate to basics,Raw frequency rate to basic education,Ratio between the total number of people of any age attending basic education (elementary or middle-regular or tv series) and the population in the age group of 6 to 17 years multiplied by 100. People attending the 4th grade of secondary education were considered to have completed this level of education. People of 6 years or more attending preschool were considered as if they were in the first grade of elementary school.
t_fbfund,Taxa de frequência bruta ao fundamental,Taxa de frequência bruta ao ensino   fundamental,Razão entre o número total de pessoas de qualquer idade frequentando o ensino fundamental regular seriado e a população na faixa etária de 6 a 14 anos multiplicado por 100. As pessoas de 6 anos ou mais frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.,edu,Gross to the fundamental frequency rate,Raw frequency rate at elementary school,Ratio between the total number of people of any age attending middle school and television series regular in the age group of 6 to 14 years multiplied by 100. People of 6 years or more attending preschool were considered as if they were in the first grade of elementary school.
t_fbmed,Taxa de frequência bruta ao médio,Taxa de frequência bruta ao ensino   médio,Razão entre o número total de pessoas de qualquer idade frequentando o ensino médio regular seriado e a população na faixa etária de 15 a 17 anos multiplicado por 100. As pessoas frequentando a 4ª série do ensino médio foram consideradas como tendo concluído esse nível de ensino.,edu,The gross average frequency rate,Raw frequency rate to high school,Ratio between the total number of people of any age attending regular high school tv series and the population in the age group of 15 to 17 years multiplied by 100. People attending the 4th grade of secondary education were considered to have completed this level of education.
t_fbpre,Taxa de frequência bruta à pré-escola,Taxa de frequência bruta à pré-escola,Razão entre o número total de crianças de até 5 anos de idade (somente 5 anos em 1991) frequentando a pré-escola e a população nessa mesma faixa etária multiplicado por 100. As pessoas de 6 anos ou mais frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.,edu,Raw frequency rate to preschool,Raw frequency rate to preschool,"Ratio between the total number of children under 5 years of age (only 5 years in 1991) attending preschool and the population in the same age group, multiplied by 100. People of 6 years or more attending preschool were considered as if they were in the first grade of elementary school."
t_fbsuper,Taxa de frequência bruta ao superior,Taxa de frequência bruta ao ensino   superior,"Razão entre o número total de pessoas de qualquer idade frequentando o ensino superior (graduação, especialização, mestrado ou doutorado) e a população na faixa etária de 18 a 24 anos multiplicado por 100.",edu,Raw frequency rate to the superior,Raw frequency rate to higher education,"Ratio between the total number of people of any age attending higher education (undergraduate, master's or doctoral specialization) and the population in the age group of 18 to 24 years multiplied by 100."
t_flbas,Taxa de frequência líquida ao básico,Taxa de frequência líquida ao ensino   básico,Razão entre o número de pessoas na faixa etária de 6 a 17 anos frequentando o ensino básico (fundamental ou médio - regular ou seriado) e a população total dessa mesma faixa etária multiplicado por 100. As pessoas de 6 a 17 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental. As pessoas de 6 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.,edu,NET frequency rate to basics,NET frequency rate to basic education,"Ratio of the number of people between the ages of 6 to 17 years attending basic education (elementary or middle-regular or tv series) and the total population of the same age group, multiplied by 100. People from 6 to 17 years attending preschool were considered as if they were in the first grade of elementary school. People from 6 to 17 years attending fourth grade of high school were considered as having completed this level of education."
t_flfund,Taxa de frequência líquida ao fundamental,Taxa de frequência líquida ao ensino   fundamental,Razão entre o número de pessoas na faixa etária de 6 a 14 anos frequentando o ensino fundamental regular seriado e a população total dessa mesma faixa etária multiplicado por 100. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.,edu,NET to the fundamental frequency rate,NET frequency rate at elementary school,"Ratio of the number of people in the age group of 6 to 14 years attending the regular elementary and serial total population in the same age group, multiplied by 100. People from 6 to 14 years attending preschool were considered as if they were in the first grade of elementary school."
t_flmed,Taxa de frequência líquida ao médio,Taxa de frequência líquida ao ensino   médio,Razão entre o número de pessoas na faixa etária de 15 a 17 anos frequentando o ensino médio regular seriado e a população total dessa mesma faixa etária multiplicado por 100. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.,edu,NET the Middle frequency rate,NET frequency rate to high school,"Ratio of the number of people in the age group of 15 to 17 years attending regular high school sitcom and the total population of the same age group, multiplied by 100. People from 15 to 17 years attending fourth grade of high school were considered as having completed this level of education."
t_flpre,Taxa de frequência líquida à pré-escola,Taxa de frequência líquida à pré-escola,Razão entre o número de pessoas na faixa etária de 4 e 5 anos (somente 5 anos em 1991) frequentando a pré-escola e a população total dessa mesma faixa etária multiplicado por 100.,edu,NET frequency rate to preschool,NET frequency rate to preschool,"Ratio of the number of people between the ages of 4 and 5 years (5 years in 1991 only) attending preschool and the total population of the same age group, multiplied by 100."
t_flsuper,Taxa de frequência líquida ao superior,Taxa de frequência líquida ao ensino   superior,"Razão entre o número de pessoas na faixa etária de 18 a 24 anos frequentando o ensino superior (graduação, especialização, mestrado ou doutorado) e a população total dessa mesma faixa etária multiplicado por 100.",edu,NET frequency rate to the superior,NET frequency rate to higher education,"Ratio of the number of people in the age group of 18 to 24 years attending higher education (undergraduate, master's or doctoral specialization) and the total population of the same age group, multiplied by 100."
t_freq0a3,% de 0 a 3 anos na escola,Taxa de atendimento escolar da população de 0 a 3 anos de idade ,"Razão entre a população de 0 a 3 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100. Dado não disponível para 1991.",edu,% of 0 to 3 years in school,School attendance rate of the population from 0 to 3 years of age,"Ratio of the population from 0 to 3 years of age were attending school, at any level or grade and the total population in this age group, multiplied by 100. Data not available for 1991."
t_freq11a14,% de 11 a 14 anos na escola,Taxa de atendimento escolar da população de 11 a 14 anos de idade ,"Razão entre a população de 11 a 14 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% of 11 to 14 years at school,School attendance rate of the population of 11 to 14 years of age,"Ratio of the population of 11 to 14 years of age were attending school, at any level or grade and the total population in this age group, multiplied by 100."
t_freq15a17,% de 15 a 17 anos na escola,Taxa de atendimento escolar da população de 15 a 17 anos de idade ,"Razão entre a população de 15 a 17 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% of 15 to 17 years at school,School attendance rate of the population from 15 to 17 years of age,"Ratio of the population of 15 to 17 years of age who were attending school, at any level or grade and the total population in this age group, multiplied by 100."
t_freq18a24,% de 18 a 24 anos na escola,Taxa de atendimento escolar da população de 18 a 24 anos de idade ,"Razão entre a população de 18 a 24 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% of 18 to 24 years at school,School attendance rate of the population of 18 to 24 years of age,"Ratio of the population of 18 to 24 years of age were attending school, at any level or grade and the total population in this age group, multiplied by 100."
t_freq25a29,% de 25 a 29 anos na escola,Taxa de atendimento escolar da população de 25 a 29 anos de idade ,"Razão entre a população de 25 a 29 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% 25 to 29 years at school,School attendance rate of the population of 25 to 29 years of age,"Ratio of the population of 25 to 29 years of age he was attending school at any level or grade and the total population in this age group, multiplied by 100."
t_freq4a5,% de 4 a 5 anos na escola,Taxa de atendimento escolar da população de 4 a 5 anos de idade ,"Razão entre a população de 4 a 5 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% 4 to 5 years at school,School attendance rate of the population of 4 to 5 years of age,"Ratio of the population of 4 to 5 years old who were attending school, at any level or grade and the total population in this age group, multiplied by 100."
t_freq4a6,% de 4 a 6 anos na escola,Percentual da população de 4 a 6 anos de idade frequentando a escola,"Razão entre a população de 4 a 6 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% 4 to 6 years in school,Percentage of the population of 4 to 6 years of age attending school,"Ratio of the population of 4 to 6 years old who were attending school, at any level or grade and the total population in this age group, multiplied by 100."
t_freq5a6,% de 5 a 6 anos na escola,Percentual da população de 5 a 6 anos de idade frequentando a escola,"Razão entre a população de 5 a 6 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% 5 to 6 years in school,Percentage of the population of 5 to 6 years of age attending school,"Ratio of the population of 5 to 6 years old who were attending school, at any level or grade and the total population in this age group, multiplied by 100."
t_freq6,% de 6 anos na escola,Taxa de atendimento escolar da população de 6 anos de idade ,"Razão entre a população de 6 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% of 6 years in school,School attendance rate of the population of 6 years of age,"Ratio of the population of 6-year-old who was attending the school, at any level or grade and the total population in this age group, multiplied by 100."
t_freq6a14,% de 6 a 14 anos na escola,Taxa de atendimento escolar da população de 6 a 14 anos de idade ,"Razão entre a população de 6 a 14 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% 6 to 14 years in school,School attendance rate of the population of 6 to 14 years of age,"Ratio of the population of 6 to 14 years of age were attending school, at any level or grade and the total population in this age group, multiplied by 100."
t_freq6a17,% de 6 a 17 anos na escola,Taxa de atendimento escolar da população de 6 a 17 anos de idade ,"Razão entre população de 6 a 17 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.",edu,% 6 to 17 years in school,School attendance rate of the population from 6 to 17 years of age,"Ratio of population of 6 to 17 years of age who were attending school, at any level or grade and the total population in this age group, multiplied by 100."
t_freqfund1517,% de 15 a 17 anos no fundamental,Percentual da população de 15 a 17 anos de idade frequentando o ensino fundamental,Razão entre a população de 15 a 17 anos de idade frequentando o ensino fundamental regular seriado e o total de pessoas nesta faixa etária multiplicado por 100.,edu,% 15 to 17 years old in fundamental,Percentage of the population from 15 to 17 years of age attending elementary school,"Ratio of the population of 15 to 17 years of age attend elementary school and the television series total of regular people in this age group, multiplied by 100."
t_freqfund1824,% de 18 a 24 anos no fundamental,Percentual da população de 18 a 24 anos de idade frequentando o ensino fundamental,Razão entre a população de 18 a 24 anos frequentando o ensino fundamental regular seriado e o total de pessoas nesta faixa etária multiplicado por 100.,edu,% from 18 to 24 years old in fundamental,Percentage of the population of 18 to 24 years of age attending elementary school,"Ratio of the population of 18 to 24 years attending the elementary school and the television series total of regular people in this age group, multiplied by 100."
t_freqfund45,% de 4 a 5 anos no fundamental,Percentual da população de 4 a 5 anos de idade frequentando o ensino fundamental,Razão entre a população de 4 a 5 anos de idade frequentando o ensino fundamental regular seriado e o total de pessoas nesta faixa etária multiplicado por 100.,edu,% from 4 to 5 years in fundamental,Percentage of the population of 4 to 5 years of age attending elementary school,"Ratio of the population of 4 to 5 years of age attend elementary school and the television series total of regular people in this age group, multiplied by 100."
t_freqmed1824,% de 18 a 24 anos no médio,Percentual da população de 18 a 24 anos de idade frequentando o ensino médio,Razão entre a população de 18 a 24 anos frequentando o ensino médio regular seriado e o total de pessoas nesta faixa etária multiplicado por 100. As pessoas de 18 a 24 anos frequentando a 4a. série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.,edu,% from 18 to 24 years in the middle,Percentage of the population of 18 to 24 years of age attending middle school,"Ratio of the population of 18 to 24 years attending regular high school tv show and the total number of people in this age group, multiplied by 100. People 18 to 24 years attending the 4th. high school series were considered as having completed this level of education."
t_freqmed614,% de 6 a 14 anos no médio,Percentual da população de 6 a 14 anos de idade frequentando o ensino médio,Razão entre a população de 6 a 14 anos de idade frequentando o ensino médio regular seriado e o total de pessoas nesta faixa etária multiplicado por 100.,edu,% from 6 to 14 years in the middle,Percentage of the population of 6 to 14 years of age attending middle school,"Ratio of the population of 6 to 14 years of age attending regular high school tv show and the total number of people in this age group, multiplied by 100."
t_freqsuper1517,% de 15 a 17 anos no superior,Percentual da população de 15 a 17 anos de idade frequentando o ensino superior,"Razão entre a população de 15 a 17 anos de idade frequentando o ensino superior (graduação, especialização, mestrado ou doutorado) e o total de pessoas nesta faixa etária multiplicado por 100.",edu,% 15 to 17 years of age,Percentage of the population from 15 to 17 years of age attending higher education,"Ratio of the population of 15 to 17 years of age attending higher education (undergraduate, master's or doctoral specialization) and the total number of people in this age group, multiplied by 100."
