 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Hanseníase por Município e Ano/Mês
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"Total"
"110080 Candeias do Jamari";-;-;-;8;14;32;-;-;3;-;1;2;1;1;7;1;-;-;2;5;5;5;14;22;-;2;1;2;1;-;-;-;1;3;1;1;3;1;2;4;1;5;87;95;1;-;4;-;-;1;-;1;-;-;2;-;-;-;-;2;-;-;-;-;-;-;3;-;-;-;1;-;10;-;-;4;-;-;-;-;-;-;-;-;-;-;12;-;2;7;-;-;2;46;-;4;3;5;11;11;-;4;10;8;17;-;2;9;3;10;45;80;9;2;5;6;8;4;6;11;3;-;2;4;2;1;3;3;48;44;-;38;1;4;4;1;4;2;158;4;3;1;1;-;-;-;-;-;-;-;1035
"110090 Castanheiras";12;-;19;6;-;91;-;-;-;2;-;-;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;2;2;2;4;3;2;-;3;1;1;-;1;-;5;5;1;2;3;-;3;-;4;4;7;-;7;8;8;6;9;5;7;-;7;-;-;2;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;2;-;-;1;1;1;1;2;1;1;8;2;2;2;1;4;5;-;-;-;-;-;-;-;-;-;297
"110005 Cerejeiras";15;33;63;30;49;32;-;-;1;-;8;29;-;-;9;-;-;-;2;24;22;2;13;11;13;22;13;18;28;25;6;20;17;29;14;5;-;11;10;17;13;43;1;8;32;24;12;10;4;9;-;6;5;3;8;6;4;3;2;5;-;3;3;3;4;1;7;17;8;11;20;18;30;14;15;-;8;-;10;3;11;7;4;8;-;11;15;10;9;-;19;22;31;13;19;8;8;9;19;14;21;-;9;7;5;5;6;12;16;23;-;13;13;-;13;4;7;-;-;2;-;57;6;8;6;7;6;4;2;2;6;7;5;17;14;7;12;-;7;12;16;13;18;-;-;-;-;-;-;-;1589
"110092 Chupinguaia";-;-;-;-;23;152;6;11;11;12;12;18;3;15;-;7;7;7;-;8;9;8;8;4;5;7;8;10;8;11;11;7;10;10;4;4;8;11;11;13;9;6;-;10;8;1;4;9;5;-;7;4;4;6;4;2;-;-;-;-;4;3;3;3;2;-;4;2;4;5;2;-;4;4;1;3;5;2;3;4;5;4;-;1;4;6;3;4;5;3;3;5;3;4;3;7;8;7;5;3;7;1;2;1;7;1;3;1;-;1;4;-;-;1;1;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;1;1;1;1;-;1;721
"110006 Colorado do Oeste";106;29;77;61;-;4;-;-;-;-;3;2;-;-;-;2;1;1;-;2;2;-;2;-;-;-;65;19;24;7;2;16;14;31;22;-;33;27;29;29;49;37;-;13;31;26;33;87;36;23;35;31;27;20;6;43;3;27;41;-;25;-;-;69;2;6;5;38;6;2;26;32;27;27;343;47;46;8;44;44;46;51;71;62;45;49;3;69;16;1;19;18;5;2;-;8;128;2;16;17;8;31;-;-;32;24;-;29;48;47;25;32;31;-;16;28;2;-;-;-;20;20;16;20;20;15;21;20;25;-;-;6;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3141
"110007 Corumbiara";13;6;14;16;-;54;5;5;4;13;6;5;5;6;5;5;5;5;5;4;5;3;3;3;4;3;4;3;2;1;2;3;3;6;5;4;6;7;8;9;8;9;9;7;8;8;7;9;8;7;2;2;8;7;8;7;6;7;8;7;7;5;5;6;7;6;-;3;2;2;-;-;-;2;3;3;-;3;-;4;3;2;4;1;4;3;5;5;3;3;2;2;2;-;2;2;2;4;5;6;-;5;4;3;2;3;1;2;-;2;1;1;-;-;2;2;-;1;3;2;3;3;2;3;3;1;-;-;-;-;-;1;1;1;-;-;-;2;1;1;1;1;-;-;-;-;-;-;-;-;583
"110008 Costa Marques";-;-;-;-;-;-;2;10;10;6;1;1;1;3;-;-;2;16;8;6;10;-;-;2;8;10;5;8;4;-;4;9;-;5;2;5;2;2;2;2;2;2;2;2;8;2;7;4;3;1;-;-;2;1;4;2;-;-;-;-;-;-;-;-;2;-;-;5;10;4;7;6;8;15;13;15;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;12;6;5;11;-;-;-;-;-;-;4;17;5;5;3;1;-;-;-;-;-;3;3;2;3;1;2;5;3;3;3;4;4;3;-;-;4;3;-;-;-;-;401
"110094 Cujubim";6;35;26;11;17;9;-;-;1;4;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;1;1;3;4;2;1;3;4;14;12;3;-;12;3;7;6;15;9;26;3;14;4;8;7;11;8;22;22;10;10;10;1;10;5;9;10;8;3;-;8;8;6;-;-;11;10;9;6;5;6;9;1;9;1;-;-;-;10;19;11;11;12;13;17;19;16;-;18;17;13;14;14;13;18;11;17;18;20;21;14;12;7;12;13;13;20;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;-;1;1;-;-;-;-;-;4;-;-;-;-;3;3;961
"110009 Espigão D'Oeste";42;20;15;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;19;-;-;-;-;52;-;-;-;-;-;1;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;201
"110100 Governador Jorge Teixeira";-;6;11;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;2;-;-;2;1;1;7;-;6;-;-;5;6;3;3;4;-;-;-;-;-;-;-;3;3;3;3;3;3;2;2;-;3;3;-;-;-;-;-;3;4;4;4;4;-;4;-;5;4;6;8;5;4;4;4;4;3;2;1;4;4;-;-;2;3;2;2;2;3;2;1;-;-;-;-;2;-;2;-;1;-;1;-;1;-;1;-;-;-;-;2;-;2;2;-;1;-;-;-;-;-;-;-;-;-;-;-;206
"110010 Guajará-Mirim";89;159;283;206;210;79;2;5;3;10;5;6;-;2;2;2;5;3;3;1;2;-;2;3;-;-;2;4;2;3;-;1;-;1;1;1;-;1;2;-;1;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;1;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;2;-;23;137;-;1;1;-;76;-;4;-;1;-;-;-;79;-;-;-;-;-;-;-;2;11;6;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;1;2;6;4;1;31;1;-;-;74;3;2;11;4;-;2;-;3;-;89;-;1696
"110110 Itapuã do Oeste";14;3;5;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;4;3;2;1;-;1;1;1;1;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3;-;-;3;5;10;3;3;6;-;1;2;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3;2;8;3;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;118
"110011 Jaru";-;-;-;10;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;12;11;11;1;11;12;28;28;-;25;6;7;2;3;85;5;-;-;96;34;34;34;36;34;15;15;-;22;-;22;-;24;6;8;37;-;11;1;16;4;1;1;2;6;-;1;5;-;4;2;1;-;1;1;2;-;-;-;1;3;1;1;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;2;49;4;3;5;1;2;-;-;3;7;2;2;3;4;4;7;7;9;5;4;-;6;6;7;12;5;5;4;4;4;4;-;-;948
"110012 Ji-Paraná";-;-;-;27;216;299;6;4;4;7;6;10;8;5;7;8;7;7;8;5;6;4;6;99;-;8;3;1;1;1;-;-;1;6;-;1;-;7;-;-;5;23;2;2;3;2;4;4;10;6;3;2;1;-;-;-;4;14;1;-;4;1;2;3;-;-;29;1;1;2;3;4;5;6;-;3;7;8;1;7;7;10;10;13;8;-;9;6;10;46;5;8;-;9;-;9;1;3;3;4;1;2;1;3;2;2;10;4;64;3;2;5;5;3;4;2;4;4;2;2;5;6;17;11;17;11;9;16;7;16;17;24;13;13;287;28;256;-;20;21;19;33;31;28;26;34;23;27;25;19;2296
"110013 Machadinho D'Oeste";-;-;-;-;-;93;4;4;5;-;2;1;-;-;1;3;3;-;-;-;1;-;1;-;1;1;-;25;14;7;16;55;21;29;4;49;31;38;28;33;52;12;13;12;13;14;13;28;53;36;-;14;28;26;26;13;35;26;55;74;42;38;16;21;53;3;40;30;4;-;5;13;-;13;11;10;28;26;23;9;38;-;36;14;21;23;11;2;17;37;3;2;24;102;6;12;57;1;23;2;24;-;2;2;6;27;15;9;7;11;6;9;1;17;69;15;5;5;3;2;9;1;15;8;5;-;3;-;8;4;14;4;2;51;71;78;58;64;27;3;1;3;2;5;6;72;2;6;6;1;2593
"110120 Ministro Andreazza";1;-;-;5;26;11;1;2;-;9;-;21;13;14;5;16;31;2;6;8;-;12;14;8;13;21;8;8;-;12;10;7;21;23;4;10;1;4;-;8;11;3;7;-;29;18;6;7;30;8;-;6;8;8;13;11;8;8;3;11;14;16;8;10;1;12;-;8;26;9;-;15;-;-;7;12;18;9;5;-;2;25;25;33;9;7;3;14;10;7;5;4;6;4;4;10;10;9;4;8;-;-;12;5;4;13;13;6;7;4;9;85;4;15;3;4;2;6;5;4;4;5;7;7;-;2;-;4;3;4;4;4;4;4;4;2;-;2;-;1;1;1;4;2;8;3;1;1;4;-;1206
"110130 Mirante da Serra";-;-;5;47;40;62;11;-;-;-;-;4;-;58;-;90;134;58;31;122;118;90;120;53;70;35;87;86;-;41;-;60;128;35;40;-;-;-;-;-;-;-;-;-;-;-;25;1;1;95;-;100;-;-;-;-;-;6;-;-;-;20;21;20;-;22;22;26;24;5;6;12;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;40;-;-;36;-;4;36;-;-;1;-;-;-;63;55;72;-;-;111;-;80;-;-;4;78;5;10;8;-;1;-;6;7;-;69;3;11;5;-;-;-;2760
"110140 Monte Negro";-;-;-;3;-;37;-;-;-;-;-;-;20;-;14;12;9;9;-;-;-;1;4;4;3;4;-;-;-;-;13;6;7;10;20;26;22;22;27;24;14;13;13;8;11;10;11;10;9;9;-;-;9;10;14;10;5;7;6;9;12;11;10;12;14;14;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;20;23;18;60;33;41;57;66;49;44;-;46;39;45;33;43;43;33;40;-;21;14;21;12;10;14;10;10;17;15;18;14;-;-;5;18;13;7;16;-;-;-;-;-;-;-;-;1553
"110014 Nova Brasilândia D'Oeste";182;288;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1;3;1;-;-;-;-;1;-;-;-;-;-;4;121;-;87;-;7;4;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;181;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188;-;-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;45;47;-;-;-;-;1;-;-;-;-;-;-;-;1;1;2;2;32;35;-;29;70;64;64;44;5;52;39;1;62;45;14;48;35;11;15;39;7;-;1977
"110033 Nova Mamoré";60;2;4;68;30;36;-;-;-;-;-;-;16;-;20;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;27;1;1;2;14;13;8;8;13;12;-;-;-;-;-;-;-;-;-;1;-;2;1;3;3;-;1;3;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;3;4;-;-;-;-;-;-;-;-;421
"110143 Nova União";4;10;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10;1;-;-;1;-;-;-;2;-;-;-;-;1;2;2;2;2;4;5;6;3;3;3;1;2;-;4;3;1;-;-;1;-;4;1;1;6;3;-;3;1;5;1;-;4;-;2;8;10;-;-;8;3;2;-;-;-;-;4;4;-;-;-;1;1;1;-;-;-;4;6;7;8;7;9;6;-;1;1;1;1;7;9;11;9;1;-;-;-;-;-;-;2;6;9;3;6;83;-;3;9;7;10;10;-;-;-;-;-;-;-;388
"110050 Novo Horizonte do Oeste";-;3;3;-;7;16;-;-;-;-;5;-;-;-;-;2;-;2;1;2;5;3;9;9;11;8;7;8;5;12;7;186;8;9;7;84;-;3;3;5;-;15;8;7;10;13;8;7;6;14;-;12;5;4;6;-;7;11;20;13;5;22;15;55;5;5;24;23;24;26;18;33;27;24;35;34;-;-;27;32;33;41;43;61;68;56;39;33;59;20;37;26;30;-;-;-;-;-;-;-;-;-;36;47;66;45;56;51;31;32;-;-;-;-;24;12;10;27;26;106;99;69;78;86;45;50;40;59;60;48;44;42;30;29;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2959
"110015 Ouro Preto do Oeste";-;-;-;-;4;2;-;-;-;-;1;-;-;-;-;-;24;-;1;-;-;6;15;-;2;1;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;12;67;59;27;186;6;100;36;21;32;6;24;70;4;80;28;60;113;7;39;71;1;1;7;59;62;28;5;1;-;12;21;23;-;-;30;1;8;59;62;64;68;67;88;39;1;5;1;1;4;-;86;38;-;60;-;-;-;-;-;-;-;-;26;35;44;34;24;25;13;33;43;18;30;-;25;29;13;28;36;31;15;16;13;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2574
"110145 Parecis";1;4;32;60;90;103;3;1;2;2;2;1;3;3;2;3;3;3;3;4;7;7;6;7;7;5;4;-;5;5;5;5;5;5;5;6;3;3;5;-;10;10;10;8;6;6;7;8;11;7;8;4;4;3;3;3;3;3;-;-;-;-;-;-;-;-;1;1;1;1;1;2;2;2;3;3;1;1;1;1;2;2;2;2;1;1;1;-;-;2;2;2;2;1;2;-;1;3;3;4;5;63;4;-;4;3;4;4;4;-;1;-;4;3;6;3;4;3;3;-;1;3;5;6;4;38;4;5;4;2;1;1;1;-;1;2;3;2;1;2;1;1;1;1;1;1;-;1;1;-;800
"110018 Pimenta Bueno";-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;5;4;2;2;2;2;1;9;3;29;1;1;4;21;-;-;-;-;-;-;-;-;46;-;-;69;13;25;21;30;1;1;3;-;-;-;1;11;-;-;2;1;-;-;-;1;2;-;1;-;2;-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;-;35;-;19;-;-;-;-;-;-;-;-;-;1;3;5;-;-;-;1;73;-;-;2;-;-;2;3;1;140;1;2;-;-;-;-;2;-;-;-;-;-;16;1;-;2;6;4;-;11;9;5;33;12;20;14;22;29;23;22;2;854
"110146 Pimenteiras do Oeste";-;-;-;57;-;7;-;-;-;-;1;-;-;-;-;-;1;1;1;1;1;1;-;2;2;1;2;2;2;2;-;1;1;1;2;1;2;-;3;3;1;-;4;4;4;3;2;1;3;3;-;2;4;1;-;-;-;4;2;2;1;-;7;4;8;3;-;3;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;183
